Date,ACC.NS,ADANIGREEN.NS,ADANIPOWER.NS,AMBUJACEM.NS,APLAPOLLO.NS,BPCL.NS,COALINDIA.NS,DALBHARAT.NS,DEEPAKNTR.NS,GRASIM.NS,HINDALCO.NS,HINDPETRO.NS,IOC.NS,JINDALSTEL.NS,JSWSTEEL.NS,NTPC.NS,ONGC.NS,PIDILITIND.NS,PIIND.NS,RELIANCE.NS,SAIL.NS,SHREECEM.NS,SRF.NS,TATACHEM.NS,TATAPOWER.NS,TATASTEEL.NS,ULTRACEMCO.NS,UPL.NS,VEDL.NS
2022-02-23,2082.655029296875,1987.3499755859375,125.55000305175781,322.1788330078125,821.1787719726562,331.39892578125,133.16160583496094,1637.112548828125,1999.1319580078125,1648.9656982421875,510.6513366699219,266.5478820800781,69.66105651855469,399.005615234375,593.7744140625,120.7901611328125,138.99911499023438,2395.14111328125,2521.0478515625,2176.43310546875,87.65679168701172,24406.572265625,2381.209716796875,837.2973022460938,217.41879272460938,104.65296173095703,6710.8291015625,667.5689697265625,219.68637084960938
2022-02-24,1949.736083984375,1849.75,111.1500015258789,298.81494140625,772.441650390625,309.0798034667969,126.02041625976562,1520.9288330078125,1841.2874755859375,1525.0809326171875,509.61761474609375,250.4868927001953,65.4094467163086,366.1346435546875,549.9682006835938,115.40933227539062,135.45388793945312,2291.17919921875,2378.46435546875,2067.980224609375,78.51240539550781,22966.984375,2257.001953125,761.2322387695312,200.8076934814453,98.68067169189453,6352.78076171875,613.5230102539062,210.86024475097656
2022-02-25,1993.832763671875,1923.5,124.05000305175781,300.5185241699219,830.2207641601562,312.142333984375,137.3202362060547,1558.5350341796875,1981.4173583984375,1548.2877197265625,525.615478515625,246.483154296875,66.80683135986328,395.78778076171875,578.2224731445312,120.92932891845703,137.9182586669922,2348.985595703125,2464.750244140625,2093.8330078125,84.60865020751953,23791.53125,2409.52880859375,800.7667236328125,216.2393035888672,105.23640441894531,6503.02685546875,635.2578735351562,226.17344665527344
2022-02-28,2022.488037109375,1843.4000244140625,123.75,305.92144775390625,844.7772827148438,324.62432861328125,142.44508361816406,1550.766357421875,1983.8983154296875,1578.5552978515625,564.8471069335938,251.49932861328125,68.38259887695312,420.6390075683594,606.0903930664062,123.85165405273438,138.91265869140625,2382.598388671875,2455.15185546875,2163.139892578125,88.9961166381836,24219.33203125,2368.54052734375,815.1560668945312,219.23716735839844,112.16426086425781,6500.701171875,645.6885986328125,237.21389770507812
2022-03-02,2001.77099609375,1882.550048828125,123.0999984741211,296.089111328125,844.3302001953125,317.478515625,155.25717163085938,1501.6307373046875,1926.933349609375,1529.17919921875,590.7881469726562,245.562744140625,66.74736785888672,439.7477111816406,622.6565551757812,121.4859619140625,140.9014434814453,2377.491943359375,2503.29296875,2198.8935546875,91.76713562011719,23741.142578125,2334.65673828125,829.3031616210938,221.5469970703125,118.46733093261719,6333.8759765625,669.0729370117188,241.58016967773438
2022-03-03,1893.5867919921875,1950.9000244140625,122.69999694824219,282.50885009765625,854.3160400390625,321.4690246582031,158.7437286376953,1412.0189208984375,1959.9312744140625,1484.8394775390625,596.8919677734375,256.837646484375,68.17449188232422,440.6883239746094,632.4127197265625,122.55284881591797,147.25692749023438,2318.8427734375,2458.931640625,2180.329345703125,93.42974853515625,22644.388671875,2328.8935546875,861.9578857421875,222.72650146484375,119.74907684326172,5919.50927734375,692.5542602539062,246.97572326660156
2022-03-04,1946.396240234375,1894.300048828125,119.75,284.8452453613281,855.3096923828125,323.2786865234375,152.0646514892578,1389.8509521484375,1899.1951904296875,1459.1639404296875,574.7411499023438,261.99188232421875,67.34200286865234,431.4309997558594,610.4371948242188,120.7901611328125,142.89024353027344,2241.80078125,2427.15234375,2131.97021484375,90.10452270507812,22369.90234375,2220.18701171875,834.8263549804688,217.66452026367188,117.34178161621094,5988.396484375,692.5542602539062,232.91001892089844
2022-03-07,1887.9234619140625,1803.75,116.44999694824219,273.74737548828125,825.6500854492188,313.673583984375,158.53367614746094,1317.2113037109375,1816.7747802734375,1428.5013427734375,610.13330078125,254.30654907226562,66.74736785888672,439.45068359375,615.460205078125,120.65100860595703,161.65403747558594,2146.316650390625,2393.43408203125,2053.12890625,90.52017211914062,21814.3828125,2139.65087890625,822.4234619140625,212.50425720214844,118.70162963867188,5639.80029296875,710.165283203125,241.642578125
2022-03-08,1899.4921875,1783.949951171875,118.69999694824219,275.4023132324219,824.5570678710938,317.0144958496094,158.91172790527344,1348.1375732421875,1873.6900634765625,1440.005859375,580.7957153320312,248.96824645996094,69.60159301757812,437.6190185546875,608.40869140625,124.08358764648438,154.8662109375,2162.37939453125,2426.754638671875,2049.415771484375,88.76519012451172,22403.1328125,2175.86962890625,842.9174194335938,223.0705108642578,116.64348602294922,5773.765625,702.6939086914062,237.8688507080078
2022-03-09,1937.0057373046875,1828.75,121.30000305175781,283.9203796386719,840.7531127929688,317.9889221191406,156.81138610839844,1449.922119140625,1959.6832275390625,1474.7174072265625,578.9252319335938,247.6796875,69.5421371459961,445.2922058105469,605.8006591796875,121.9961929321289,151.66683959960938,2218.648681640625,2495.634521484375,2158.1435546875,88.76519012451172,21788.888671875,2209.70361328125,863.2660522460938,225.33119201660156,115.34336853027344,5955.7841796875,703.6642456054688,239.74156188964844
